OrderID,ProductID,Quantity,Unit_Price
213,8,1,43.81
176,18,5,489.16
118,2,5,442.09
58,19,3,321.92
202,2,4,280.43
248,28,3,308.59
120,26,3,438.82
29,41,3,462.77
145,37,5,152.67
139,8,3,158.88
144,3,2,33.89
39,18,5,495.27
113,5,4,482.98
12,3,1,395.26
111,7,5,227.25
15,45,2,289.25
180,39,1,389.33
208,19,5,118.57
30,31,2,117.09
202,21,4,285.28
247,36,1,342.1
129,10,5,260.42
48,42,4,157.84
233,32,5,200.62
65,35,2,297.78
108,1,5,39.13
34,43,2,488.55
210,5,2,486.05
239,12,4,423.07
45,20,3,189.44
156,3,5,337.15
214,26,5,325.07
169,24,3,210.31
66,16,3,441.69
196,45,1,280.86
20,20,5,28.51
110,9,5,156.05
211,20,5,374.43
33,34,4,428.66
62,2,1,309.94
222,13,4,332.43
47,20,1,394.16
65,26,5,217.37
138,39,2,77.88
139,16,2,154.06
217,36,5,250.6
82,15,4,357.72
27,41,4,191.12
107,43,3,125.86
146,14,2,216.39
138,2,2,405.0
232,39,5,317.05
82,1,1,243.63
32,46,3,143.18
194,50,5,138.58
226,31,4,128.74
68,5,5,300.9
21,29,2,70.26
132,48,2,405.5
122,12,4,245.27
15,23,4,480.63
95,23,1,129.11
90,15,3,341.74
66,14,2,194.79
174,44,2,490.78
85,6,3,318.66
112,5,2,346.86
53,4,2,79.32
30,43,2,187.89
7,7,2,360.11
164,2,4,172.57
102,47,5,390.2
100,14,1,368.75
228,28,4,56.85
235,9,1,70.0
110,29,5,71.22
178,24,1,25.86
174,35,5,170.35
57,18,5,342.7
142,11,4,254.39
63,31,1,75.93
85,49,5,281.02
98,49,4,452.54
116,7,3,29.38
235,31,1,216.48
237,34,4,94.25
147,48,3,27.54
132,14,3,31.52
130,26,2,270.36
79,47,2,266.33
30,23,1,148.87
71,22,4,337.54
19,20,2,145.3
67,26,2,169.5
92,46,5,10.95
171,44,2,68.79
155,3,3,210.65
185,15,5,238.11
48,10,5,103.57
223,35,2,393.9
111,13,1,276.3
95,8,1,351.27
22,5,3,166.79
135,48,5,290.51
157,8,2,108.09
21,22,3,194.48
169,48,3,293.21
183,34,2,146.87
10,5,2,120.64
229,25,4,260.57
62,31,2,316.78
200,13,5,386.22
186,42,2,389.19
95,48,1,100.5
116,10,5,40.58
178,6,3,311.2
103,19,2,475.46
198,32,1,463.43
239,4,1,386.88
184,29,4,119.12
115,30,2,122.26
52,27,4,283.59
175,31,3,133.28
153,11,3,328.87
130,35,1,415.84
48,45,1,152.33
178,34,2,451.27
70,35,1,220.33
194,39,4,224.52
73,10,3,335.54
191,30,1,405.54
13,10,1,360.96
6,32,4,272.64
106,32,1,419.04
221,47,5,473.52
198,24,4,466.08
37,6,2,158.86
186,26,1,198.82
80,32,3,388.55
196,13,1,351.6
241,47,4,350.41
73,21,5,397.8
19,45,4,355.59
141,39,5,145.26
197,3,3,286.92
145,30,1,176.68
49,29,2,156.64
195,39,1,162.28
136,1,1,205.39
165,29,1,217.16
52,25,1,150.77
129,11,5,325.35
176,20,4,387.06
168,8,1,282.86
66,43,5,333.72
1,2,3,115.72
188,14,4,347.28
21,4,5,496.33
21,30,1,182.25
88,33,2,106.78
191,34,2,152.82
247,6,2,120.03
21,21,5,290.92
169,12,5,473.39
78,39,2,37.02
207,26,3,417.24
77,26,3,187.09
211,48,5,182.39
226,10,3,192.7
229,48,4,308.05
54,29,1,84.76
219,46,5,460.1
167,31,2,197.95
112,17,5,361.99
211,7,3,490.84
71,29,2,308.58
128,39,2,417.53
147,25,5,116.65
122,44,1,62.97
78,26,3,201.9
250,11,5,177.62
117,3,4,66.53
205,49,1,256.43
13,18,5,385.06
66,7,2,118.05
99,27,4,186.7
211,36,4,28.05
127,17,4,237.62
214,7,5,473.36
56,25,5,90.8
46,40,2,65.94
84,46,2,72.54
58,23,2,270.52
247,45,5,188.73
234,34,5,366.12
183,22,1,416.8
43,30,2,41.36
162,11,1,487.74
235,41,5,277.24
143,32,5,353.96
126,14,3,449.51
165,48,3,148.98
52,11,5,234.24
243,18,1,459.42
202,17,4,167.76
11,12,4,478.33
70,4,1,323.32
124,43,3,328.55
6,28,3,54.62
99,12,3,198.03
33,8,5,131.05
28,50,2,248.42
176,31,4,384.66
97,45,2,367.88
172,42,2,356.42
119,35,3,134.73
136,46,5,353.14
29,6,1,243.97
152,18,4,249.61
80,34,1,314.62
144,25,3,78.58
130,26,2,466.37
147,15,4,314.27
61,40,2,185.35
75,5,4,293.35
142,37,4,341.63
96,33,2,432.75
38,32,1,261.48
97,2,5,346.71
201,49,3,161.19
104,45,1,199.72
88,17,5,47.77
244,31,1,329.87
159,20,2,331.77
241,33,3,40.45
45,48,4,205.89
119,25,3,57.15
201,44,2,286.3
197,49,1,181.7
165,29,4,387.74
155,39,1,214.84
16,9,3,497.19
250,21,5,357.74
236,45,3,136.69
50,33,4,68.69
247,29,3,365.47
142,24,3,171.11
52,2,2,45.97
217,19,5,292.91
133,43,4,60.43
101,47,3,132.14
16,16,2,239.92
189,37,5,390.31
189,3,1,215.55
20,22,4,157.86
66,19,5,102.39
13,26,4,194.13
214,32,5,28.37
84,16,3,190.58
35,19,4,141.66
229,46,1,65.89
68,35,1,91.5
34,41,2,465.64
84,35,1,189.79
138,46,1,353.73
65,30,1,458.85
158,7,1,70.41
60,21,4,302.39
204,6,1,454.31
3,19,1,474.92
15,11,2,219.86
170,20,3,207.32
152,11,4,484.48
155,43,5,368.8
127,17,3,434.82
47,11,1,389.34
239,11,3,337.67
1,22,5,206.62
238,36,2,206.56
226,26,5,346.88
185,28,5,417.25
14,1,1,43.07
29,13,5,437.39
85,25,2,270.63
60,37,2,275.87
57,47,5,392.13
91,17,4,418.48
150,9,1,119.73
203,21,1,401.49
229,29,2,28.59
19,15,4,359.74
19,47,1,286.03
135,21,3,363.05
189,3,5,421.53
204,20,4,482.33
118,35,3,239.67
244,50,5,264.18
50,26,4,180.44
201,42,1,147.23
209,33,1,298.44
72,36,2,188.12
119,26,4,217.63
114,44,5,61.17
1,26,5,61.75
205,1,4,457.59
109,11,2,98.1
135,41,1,416.46
67,6,3,360.3
147,15,5,224.77
178,13,3,113.69
129,20,2,34.91
180,44,2,437.07
87,36,2,340.3
27,14,1,100.15
196,17,2,42.12
191,38,1,460.69
25,47,4,147.36
232,37,1,138.13
105,1,4,314.71
191,7,5,265.69
101,49,5,136.7
69,20,4,112.74
52,8,1,450.5
233,1,3,154.48
84,10,4,44.82
82,8,4,316.08
8,3,2,432.32
108,11,1,31.41
39,13,5,89.12
175,31,1,117.59
12,35,3,349.88
98,26,3,150.51
159,43,4,434.86
12,44,1,125.61
41,17,3,292.66
26,8,3,36.31
51,44,1,393.76
93,30,5,495.6
140,35,1,341.15
235,30,1,317.24
53,5,3,146.96
52,32,3,370.41
25,22,2,252.35
45,28,1,111.64
53,13,5,361.05
17,43,5,285.93
223,32,3,462.36
244,4,3,233.41
149,25,5,462.06
18,13,2,401.41
224,35,4,93.53
168,5,1,292.78
29,6,5,370.92
63,28,4,27.23
129,9,2,65.23
228,39,2,453.89
164,50,4,212.21
150,6,4,470.51
220,10,4,147.75
120,36,3,323.05
23,26,1,225.06
138,3,2,459.1
123,1,4,372.51
8,21,3,217.05
234,31,5,377.79
220,14,2,380.82
123,48,3,16.75
226,43,3,314.8
13,27,4,37.04
151,22,3,393.29
222,26,1,15.53
19,12,1,411.54
108,47,5,341.17
179,41,4,492.96
24,41,2,82.01
22,10,4,234.86
119,49,3,216.07
97,26,4,101.99
102,38,5,209.02
58,46,1,119.76
92,37,5,19.38
139,48,3,225.21
144,12,5,190.07
27,38,2,260.6
200,50,5,223.9
115,34,2,461.36
186,3,5,136.74
35,17,3,438.32
232,1,1,77.46
217,46,2,232.23
88,29,4,53.54
70,32,4,322.86
204,15,2,447.2
91,33,4,311.44
48,47,4,347.64
57,15,5,262.7
93,37,5,226.61
85,28,1,487.49
16,10,2,488.67
52,40,5,335.27
